Date,Transaction Description,Category,Amount,Type
2024-12-21,Google Drive,Cloud,130,Debit
2023-02-23,Ola,Transport,797,Debit
2023-12-21,Zomato,Food,228,Debit
2023-07-23,Ola,Transport,1141,Debit
2023-07-30,Starbucks,Food,1085,Debit
2024-07-24,Internet Bill,Utilities,915,Debit
2024-09-03,Flipkart,Shopping,532,Debit
2024-08-21,Ola,Transport,1098,Debit
2023-03-21,Flipkart,Shopping,292,Debit
2023-02-21,Ola,Transport,797,Debit
2023-04-01,Ola,Transport,926,Debit
2024-09-11,Starbucks,Food,935,Debit
2023-08-12,Amazon,Shopping,473,Debit
2024-05-31,Flipkart,Shopping,1119,Debit
2023-05-27,Starbucks,Food,642,Debit
2024-10-20,Zomato,Food,1126,Debit
2024-05-25,Amazon Prime,Shopping,149,Debit
2023-01-01,Salary,Income,50000,Credit
2024-04-24,Uber,Transport,886,Debit
2023-03-18,Flipkart,Shopping,229,Debit
2024-07-24,Amazon Prime,Shopping,149,Debit
2024-03-08,Swiggy,Food,941,Debit
2024-03-26,Ola,Transport,792,Debit
2024-11-07,Starbucks,Food,295,Debit
2024-10-03,Flipkart,Shopping,421,Debit
2023-08-29,Starbucks,Food,930,Debit
2023-05-16,Uber,Transport,291,Debit
2024-07-24,Google Drive,Cloud,130,Debit
2023-03-20,Uber,Transport,616,Debit
2023-09-06,Ola,Transport,352,Debit
2024-03-26,Google Drive,Cloud,130,Debit
2023-11-02,Amazon,Shopping,1005,Debit
2023-05-22,Uber,Transport,208,Debit
2023-04-26,Ola,Transport,599,Debit
2024-11-21,Google Drive,Cloud,130,Debit
2024-09-05,Amazon,Shopping,1152,Debit
2023-04-01,Internet Bill,Utilities,957,Debit
2023-10-13,Flipkart,Shopping,782,Debit
2024-02-25,Mobile Recharge,Utilities,490,Debit
2024-06-24,Spotify,Music,119,Debit
2024-02-25,Salary,Income,50000,Credit
2024-01-22,Amazon,Shopping,1047,Debit
2023-10-07,Uber,Transport,789,Debit
2024-08-15,Starbucks,Food,1131,Debit
2023-08-09,Swiggy,Food,933,Debit
2024-02-08,Amazon,Shopping,1130,Debit
2023-12-27,Apple Music,Music,99,Debit
2024-09-08,Amazon,Shopping,424,Debit
2023-06-06,Starbucks,Food,748,Debit
2023-03-21,Zomato,Food,966,Debit
2024-09-21,Swiggy,Food,383,Debit
2024-05-25,Apple Music,Music,99,Debit
2023-03-29,Amazon,Shopping,826,Debit
2023-02-17,Swiggy,Food,1126,Debit
2023-04-25,Swiggy,Food,870,Debit
2023-08-29,Internet Bill,Utilities,816,Debit
2024-12-01,Ola,Transport,457,Debit
2024-10-12,Flipkart,Shopping,853,Debit
2023-01-07,Zomato,Food,1172,Debit
2024-02-25,Google Drive,Cloud,130,Debit
2023-03-30,Uber,Transport,405,Debit
2023-09-06,Amazon,Shopping,466,Debit
2023-06-11,Starbucks,Food,259,Debit
2024-08-25,Ola,Transport,573,Debit
2024-07-15,Flipkart,Shopping,1072,Debit
2023-07-02,Ola,Transport,1055,Debit
2023-04-14,Ola,Transport,423,Debit
2024-07-25,Starbucks,Food,1199,Debit
2024-04-27,Amazon,Shopping,390,Debit
2024-05-25,Zomato,Food,803,Debit
2023-02-03,Swiggy,Food,348,Debit
2024-08-11,Amazon,Shopping,1095,Debit
2024-09-29,Uber,Transport,725,Debit
2023-01-14,Ola,Transport,931,Debit
2024-08-22,Swiggy,Food,1138,Debit
2024-06-14,Flipkart,Shopping,805,Debit
2023-04-08,Zomato,Food,1123,Debit
2023-10-28,Salary,Income,50000,Credit
2024-04-10,Uber,Transport,734,Debit
2024-08-23,Uber,Transport,1001,Debit
2023-05-08,Zomato,Food,638,Debit
2024-08-11,Flipkart,Shopping,205,Debit
2024-08-30,Starbucks,Food,1023,Debit
2024-07-02,Uber,Transport,962,Debit
2023-07-08,Uber,Transport,812,Debit
2023-07-11,Starbucks,Food,890,Debit
2023-09-13,Starbucks,Food,592,Debit
2024-05-08,Ola,Transport,781,Debit
2023-10-28,Apple Music,Music,99,Debit
2023-06-13,Zomato,Food,392,Debit
2023-10-08,Zomato,Food,466,Debit
2024-05-25,Google Drive,Cloud,130,Debit
2024-01-17,Swiggy,Food,313,Debit
2023-07-05,Uber,Transport,807,Debit
2024-07-10,Swiggy,Food,574,Debit
2024-07-04,Amazon,Shopping,214,Debit
2023-04-04,Ola,Transport,1055,Debit
2023-01-30,Amazon,Shopping,270,Debit
2023-03-20,Zomato,Food,198,Debit
2023-04-02,Ola,Transport,150,Debit
2024-01-15,Flipkart,Shopping,696,Debit
2024-12-14,Starbucks,Food,637,Debit
2023-10-25,Swiggy,Food,601,Debit
2023-12-14,Zomato,Food,662,Debit
2023-10-06,Amazon,Shopping,400,Debit
2023-07-01,Flipkart,Shopping,701,Debit
